Person ID,Inscription ID,Role,Notes
marcianus,454,,
l_vipsanius_aiolion,455,Honorand,
l_vipsanius_aiolion,456,,
l_vipsanius_lailianos,455,Honorand,
l_vipsanius_lailianos,456,,
unc_relative_of_l_vipsanius_aiolion,456,Honorand,
iunia_unc_iun_patronos,458,Honorand,
iun_patron,458,Sponsor,
iun_patron,464,Sponsor,
annia_aristokleia,458,,
annia_aristokleia,464,Sponsor,
annius_thrasyllos,458,Sponsor,
annius_thrasyllos,464,,
l_nummius_andreas_menidos,459,Sponsor,
nummia_bassa,459,Sponsor,
l_nummius_hierokeryx,459,,
nummia_kleo,459,Honorand,
ti_kl_attikos_marathonios,460,Honorand,
annia_faustina,701,Honorand,
emperor_antoninus_pius,701,,
emperor_marcus_aurelius,482,Honorand,
emperor_marcus_aurelius,495,Honorand,
emperor_marcus_aurelius,496,Honorand,
emperor_marcus_aurelius,497,Honorand,
emperor_marcus_aurelius,502,,
emperor_marcus_aurelius,503,,
emperor_marcus_aurelius,505,Honorand,
emperor_marcus_aurelius,506,,
emperor_marcus_aurelius,509,,
emperor_marcus_aurelius,510,,
emperor_marcus_aurelius,486a,Honorand,
emperor_marcus_aurelius,486b,Honorand,
emperor_marcus_aurelius,702,,
domitia_lucilla,702,Honorand,
nummius_nigreinos,462,Honorand,
menandra_of_ephesus,463,Honorand,
unc_relative_of_mindios_amynos,463,,
g_kl_titianos,463,,
philipe_kl_demostratou,463,,
d_iun_meanneas,464,Honorand,
exegete_patron,464,,
phirmus_gargettios,465,Honorand,
d_iun_peiraieus,466,Honorand,
cornelia_unc,466,Sponsor,
unc_relative_of_ti_cl_lysiades,467,Honorand,
ail_praxagoras,468,Honorand,
ail_praxagoras,478,Honorand,
ail_praxagoras,479,Honorand,
ail_praxagoras,480,,
ail_praxagoras,514,,
ail_praxagoras,520,,
ail_praxagoras,521,,
ail_praxagoras,632,,
unc_daughter_or_praxagoras_thorikos,468,,
kl_themistokles,468,,
kl_themistokles,478,,
kl_themistokles,479,,
klementiane,470,Honorand,
arrian,470,,
unc_emperor_5,471,Honorand,
unc_krateros,471,Sponsor,
unc_claudius_of_melite,472,Honorand,
ti_kl_leonides,472,,
ti_kl_leonides,478,,
ti_kl_leonides,479,,
ti_kl_leonides,492,,
sergius_salvidius_scipio_orfitus,473a,Honorand,
sergius_salvidius_scipio_orfitus,473b,,
sergius_salvidius_scipio_orfitus,473c,,
sergius_salvidius_scipio_orfitus,473d,,
calpurnia_lucia_lepida,473b,Honorand,
sergius_calpurnius_scipio_orfitus,473c,Honorand,
lucius_calpunius_piso,473d,Honorand,
p_ail_timosthenes,474,Honorand,
ail_zenonos,474,Sponsor,
elpinike_atria,475,Honorand,
regilla,475,,
regilla,476,Honorand,
regilla,477,,
appius,476,,
appius,477,,
t_kl_appius_bradoua,477,Honorand,
themistokles_meliteus,478,,
themistokles_meliteus,479,,
unc_son_of_p_ail_praxagoras,480,Honorand,
fl_xenion,481,Sponsor,
