Institution: Title,Institution: Origin,Institution: Type,Co-Appearing Person: Description,Co-Appearing Person: Origin,Co-Appearing Person: Gender,Co-Appearing Person: Name(s),Co-Appearing Person: Deme,Co-Appearing Person: Athenian Citizen,Co-Appearing Person: Roman Citizen,Co-Appearing Person: Family,Co-Appearing Person: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Co-Appearing Person: Total Appearances,Co-Appearing Person: Total Sponsors,Co-Appearing Person: Total Honorands,Co-Appearing Person: Total Officers,Co-Appearing Person: Total Institutional Affililiations,Co-Appearing Person: Total Honors,Co-Appearing Person: Total Athenian Honors,Co-Appearing Person: Total Roman Honors,Co-Appearing Person: Total Eleusinian Honors,Co-Appearing Person: RCA,Co-Appearing Person: PA,Co-Appearing Person: PAA,Co-Appearing Person: LGPN,Co-Appearing Person: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Co-Appearing Person: ID,Inscription: ID,Institution: Notes,Co-Appearing Person: Notes,Inscription: Notes
Areopagus,Athens,Public,Athenaios Perikonikos,Athens,Male,Athenaios,,True,False,,,441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,False,201,140,72,35,2,2,2,2,1,2,0,1000,2234,441,,,
Areopagus,Athens,Public,Athenaios Perikonikos,Athens,Male,Athenaios,,True,False,,,441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,84,7,68,43,56,151,203,164,274,104,1,0,0,,0,0,0,0,0,,,,,False,201,140,72,35,2,2,2,2,1,2,0,1000,2234,441,,,
Areopagus,Athens,Public,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,84,7,68,43,56,151,203,164,274,104,1,1,0,,2,2,2,0,0,,,,,False,115,29,30,12,1,2,2,1,1,2,0,1000,2240,445,,,
Areopagus,Athens,Public,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,84,7,68,43,56,151,203,164,274,104,1,1,0,,2,2,2,0,0,,,,,False,115,29,30,12,1,2,2,1,1,2,0,1000,2240,445,,,
Areopagus,Athens,Public,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,2,3,0,,1,1,1,0,0,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,2251,455,,,
Areopagus,Athens,Public,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,2,3,0,,1,1,1,0,0,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,2251,455,,,
Areopagus,Athens,Public,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,2,3,0,,1,1,1,0,0,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,2251,455,,,
Areopagus,Athens,Public,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,1,0,0,,6,8,7,0,1,95,,,,False,675,471,153,90,2,23,4,0,1,4,0,1000,2270,463,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)",
Areopagus,Athens,Public,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,1,0,0,,6,8,7,0,1,95,,,,False,675,471,153,90,2,23,4,0,1,4,0,1000,2270,463,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)",
Areopagus,Athens,Public,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,1,0,0,,6,8,7,0,1,95,,,,False,675,471,153,90,2,23,4,0,1,4,0,1000,2270,463,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)",
