Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
473,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",
473,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",
473,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",
474,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,
475,"Statue Base for Elpinike, Daughter of Herodes Attikos, Hearth-Initiate",Base,Dedication,,155.0,10,0.0245,,
476,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,
477,"Statue Base for Ti. Kl. Appios Ateilios Bradoua, Son of Kl. Herodes, Hearth-Initiate",Base,Dedication,,162.5,5,0.0120,,
478,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,,
479,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,,
480,"Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate",Base,Dedication,South Wall,165.0,10,0.0460,,
481,"Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others",Base,Dedication,,165.0,10,,,
482,Altar(?) for the Health of M. Aurelius and L. Verus,Base,Dedication,,165.0,8,0.0150,,
