Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Areopagus Sponsor,Boule Sponsor,Demos Sponsor,Inscription: Notes
368,Statue Base for Unknown,Base,Dedication,,77.5,5,0.0320,False,False,False,
369,"Building Dedicated by Klaudia Tartarion, Priestess of Demeter and Kore",Base,Dedication,,77.5,5,,False,False,False,
370,"Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate",Base,Dedication,,85.0,10,0.0100,False,False,False,
371,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,False,False,False,
372,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0280,True,False,False,
373,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,False,False,False,
374,Statue Base for Zopyros Zopyrou Piraieos,Base,Dedication,,97.5,15,0.0230,False,False,False,
375,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,,False,False,False,
376,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0230,False,False,False,
377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,False,False,False,
378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,True,True,False,
379,"Statue Base for an Unknown Individual, Dedicated by a Priestess",Stele,Dedication,,50.5,99,0.0140,False,False,False,
380,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,False,False,False,
381,Statue Base for a [-]ppos Herakleitou Gargettios,Base,Dedication,,50.5,99,0.0290,False,False,True,
382,Statue Base for Kl. Theophilos and Kl. S[-],Base,Dedication,,50.5,99,0.0130,False,False,False,
383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,True,True,True,
384,"Statue Base for a L. Pompeios, Hearth-Initiate",Base,Dedication,,50.5,99,0.0400,False,False,False,
385,Statue Base for a L. Pompeios,Base,Dedication,,50.5,99,0.0100,False,False,False,
386,Statue Base Signed by Agathokles Agathokleous Kephisieus,Base,Other/Uncertain,,50.5,99,0.0080,False,False,False,
387,Altar Dedicated by Daughter of Dionysios Phalereus,Base,Dedication,,50.5,99,0.0600,False,False,False,
388,Statue Base for an Unknown Individual,Base,Dedication,,50.5,99,0.0275,False,False,False,
389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,True,True,True,
390,Altar Dedicated to Artemis,Base,Dedication,,50.5,99,0.0290,False,False,False,
391,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.5,99,0.0205,False,False,False,
392,Catalogue?,Base,Other/Uncertain,,100.5,199,0.0285,False,False,False,
393,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,100.5,199,0.0200,False,False,False,
394,Dedication to Dionysios Lenaios,Base,Dedication,,100.5,199,0.0100,False,True,False,
395,Statue Base for a Hearth-Initiate,Base,Dedication,,100.5,199,0.0210,False,False,False,
396,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,100.5,199,0.0160,False,False,True,
397,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0200,False,False,False,
398,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,False,False,False,
399,"Statue Base for Kallisto, Daughter of Kallimakhos",Base,Dedication,Before the Telestrion,100.5,199,0.0340,False,False,False,
400,Bomiskos for Iakkhos,Base,Dedication,,100.5,199,0.0150,False,False,False,
401,Bomiskos for Kourotrophos,Base,Dedication,,100.5,199,0.0130,False,False,False,
402,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,True,True,True,
403,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,,False,False,False,
404,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0290,False,False,False,
405,Statue Base(?) For an Unknown Individual,Base,Dedication,,150.5,299,0.0300,False,False,False,
406,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0280,False,False,False,
407,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0320,False,False,False,
408,Dedicatory Base for an Unknown Figure,Base,Dedication,,150.5,299,0.0295,False,False,False,
409,Statue Base(?) for Unknown,Altar,Other/Uncertain,,150.5,299,0.0480,False,False,False,
410,Statue Base(?) For Unknown,Base,Dedication,,150.5,299,0.0680,True,False,True,
