Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
"At Site, Moved in Modernity",,301,44,"Statue Base Sophokles, Son of Theophrastos, of Hagnous",Base,Dedication,,-20.0,10,0.0235,True,Greek,38,37,6,6,1,0,2,1,1,2,0,681,-25,False,-15,False,,,
"At Site, Moved in Modernity",,304,47,"Statue Base Signed by Antiochos, son of Demetrios of Antioch",Building or Monument,Other/Uncertain,,-13.0,24,0.0110,,Greek,34,33,6,6,0,0,1,0,0,1,0,304,-25,True,-1,True,,,
Bronze Cuttings,,308,51,Statue Base for Diodotos Kalliphontos Pamotades,Base,Dedication,,-50.5,99,0.0210,,Greek,36,35,8,8,1,0,1,1,1,1,0,308,-100,True,-1,True,,,
Missing,,317,60,Statue Base for an Unknown Hearth-Initiate,Altar,Dedication,,0.0,200,,,Greek,80,33,26,13,0,1,2,0,0,2,0,317,-100,False,100,True,,,
Filiation Symbol or Nomina Suprabar,,320,63,Fragmentary Dedication,Base,Dedication,,100.0,400,0.0150,True,Greek,9,7,4,3,0,0,1,0,0,1,0,320,-100,False,300,False,,,
"At Site, Moved in Modernity",,324,67,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,,Greek,158,67,53,25,4,1,1,4,1,1,0,324,1,False,25,False,,,
Front of Telesterion,,324,67,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,,Greek,158,67,53,25,4,1,1,4,1,1,0,324,1,False,25,False,,,
Missing,,325,68,Statue Base for a Unknown Hierophantis,Base,Dedication,,13.0,24,,,Greek,57,43,15,11,1,1,1,1,1,1,0,325,1,True,25,True,,,
Outer Courtyard,,326,69,Statue Base for Unknown,Base,Dedication,Outer Courtyard,13.0,24,0.0290,,Greek,30,13,12,7,1,0,0,1,0,0,0,326,1,True,25,True,,,
Outer Courtyard,,327,70,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,,Greek,59,57,15,14,2,0,1,2,1,1,0,327,1,True,25,True,,,
Bronze Cuttings,,327,70,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,,Greek,59,57,15,14,2,0,1,2,1,1,0,327,1,True,25,True,,,
Relief,,328,71,Altar for Kourotrophos,Base,Dedication,,13.0,24,0.0080,,Greek,55,39,22,16,0,0,2,0,0,2,0,328,1,True,25,True,,,
Removed from Site,,329,72,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,,Greek,56,52,14,11,1,1,2,1,2,2,0,329,-27,False,14,False,,,
No Abbreviation,,331,74,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,,Greek,127,41,41,18,0,1,3,1,1,2,1,331,14,False,37,False,,,
No Abbreviation,,332,75,Statue Base for Unknown,Base,Other/Uncertain,,34.0,40,0.0650,,Greek,8,4,4,3,0,1,0,0,0,0,0,332,14,False,54,False,,,
Front of Telesterion,,333,76,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Greek,119,85,30,19,0,1,1,0,1,1,0,333,15,True,25,True,,,
"At Site, Moved in Modernity",,333,76,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Greek,119,85,30,19,0,1,1,0,1,1,0,333,15,True,25,True,,,
Full Size Cuttings,,333,76,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Greek,119,85,30,19,0,1,1,0,1,1,0,333,15,True,25,True,,,
