Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
"At Site, Moved in Modernity",,490,240,"Statue Base for M. Iul. Apellas Marathonios, Archon of the Eumolpidai",Altar,Dedication,Before the Telestrion,170.0,10,0.0280,,Greek,187,150,45,31,2,1,4,2,1,4,0,490,165,False,175,False,,,
Standard Abbreviation,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Office(s) of Relative(s),,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
No Abbreviation,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Mix of Abbreviation Styles,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Part of Praenomen Dropped,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Filiation Symbol or Nomina Suprabar,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Full Size Cuttings,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Bronze Cuttings,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Front of Telesterion,,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
"At Site, Moved in Modernity",,492,242,"Statue Base for Iul. Theodotos Meliteus, Son of Sophist Iul. Theodotos, Archon of the Kerykex",Altar,Dedication,Before the Telestrion,170.0,10,0.0290,,Greek,255,244,51,47,4,6,5,3,1,5,0,492,165,True,175,True,,,
Office(s) of Relative(s),,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
Missing,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
Mix of Abbreviation Styles,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
Standard Abbreviation,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
No Abbreviation,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
???' ?????????????,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
Beyond Immediate Family,,493,243,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,,Greek,371,176,113,56,1,5,5,3,1,5,0,493,165,False,175,False,,,
Missing,,494,244,Herm Honoring the Hierophant who Saved the Hiera During the Kostoboci Invasion,Building or Monument,Dedication,,176.0,10,0.0090,,Greek,122,87,31,19,0,1,0,0,0,0,0,494,171,False,181,False,,,
Removed from Site,,494,244,Herm Honoring the Hierophant who Saved the Hiera During the Kostoboci Invasion,Building or Monument,Dedication,,176.0,10,0.0090,,Greek,122,87,31,19,0,1,0,0,0,0,0,494,171,False,181,False,,,
Front of Telesterion,,495,245,Statue Base for M. Aurelius,Base,Dedication,Before the Telestrion,173.5,3,0.0370,,Greek,131,115,26,23,1,2,2,1,1,1,1,495,172,False,175,False,,,
Bronze Cuttings,,495,245,Statue Base for M. Aurelius,Base,Dedication,Before the Telestrion,173.5,3,0.0370,,Greek,131,115,26,23,1,2,2,1,1,1,1,495,172,False,175,False,,,
Mix of Abbreviation Styles,,495,245,Statue Base for M. Aurelius,Base,Dedication,Before the Telestrion,173.5,3,0.0370,,Greek,131,115,26,23,1,2,2,1,1,1,1,495,172,False,175,False,,,
Outer Courtyard,,496,246,Statue Base for M. Aurelius,Base,Dedication,Outer Courtyard,176.0,8,0.0460,,Greek,52,29,16,9,0,1,1,0,1,0,1,496,172,False,180,False,,,
No Abbreviation,,496,246,Statue Base for M. Aurelius,Base,Dedication,Outer Courtyard,176.0,8,0.0460,,Greek,52,29,16,9,0,1,1,0,1,0,1,496,172,False,180,False,,,
Unexpressed Nomina,,498,248,"Statue Base for Asklepios, Dedicated by Herodes",Building or Monument,Dedication,,175.0,0,0.0270,,Greek,67,58,18,14,0,0,1,0,0,1,0,498,175,False,175,False,,,
Mix of Abbreviation Styles,,499,249,Dedicatory Architrave of the Greater Propylaea,Building or Monument,Dedication,,175.0,10,0.2225,True,Greek,33,6,18,8,0,0,1,0,0,0,1,499,170,False,180,False,,,
Outer Courtyard,,500,250,Aedicula Block with Hierophant's Title,Base,Dedication,Outer Courtyard,175.0,10,0.0950,True,Greek,14,8,14,10,0,1,0,0,0,0,0,500,170,True,180,True,,,
"At Site, Moved in Modernity",,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
Front of Telesterion,,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
Bronze Cuttings,,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
"Cuttings for Staff, Torch, or Other",,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
Beyond Immediate Family,,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
Office(s) of Relative(s),,502,252,"Statue Base for Isidote, Daughter of Isaios, Hierophantes",Base,Dedication,Before the Telestrion,184.0,16,0.0200,True,Greek,665,653,128,120,2,5,6,0,1,3,3,502,176,False,192,False,,,
Bronze Cuttings,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
Office(s) of Relative(s),,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
Beyond Immediate Family,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
No Abbreviation,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
Mix of Abbreviation Styles,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
Coronae or Bucrania,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
Emphasis with Interpunct or Vacat,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
"Cuttings for Staff, Torch, or Other",,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,True,
Front of Telesterion,,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
"At Site, Moved in Modernity",,503,253,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,,Greek,512,438,101,84,4,6,5,3,1,1,4,503,177,False,180,False,,,
No Abbreviation,,504,254,Dedicatory Base for the Aparkhe,Base,Dedication,North of the Telesterion,183.0,12,0.0280,,Greek,74,72,19,18,1,1,1,0,0,1,0,504,177,True,189,True,,,
"At Site, Moved in Modernity",,504,254,Dedicatory Base for the Aparkhe,Base,Dedication,North of the Telesterion,183.0,12,0.0280,,Greek,74,72,19,18,1,1,1,0,0,1,0,504,177,True,189,True,,,
Path to Telesterion,,504,254,Dedicatory Base for the Aparkhe,Base,Dedication,North of the Telesterion,183.0,12,0.0280,,Greek,74,72,19,18,1,1,1,0,0,1,0,504,177,True,189,True,,,
Outer Courtyard,,505,255,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,True,Greek,14,8,9,4,0,0,1,0,1,0,1,505,180,False,182,True,,,
"At Site, Moved in Modernity",,505,255,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,True,Greek,14,8,9,4,0,0,1,0,1,0,1,505,180,False,182,True,,,
Bronze Cuttings,,505,255,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,True,Greek,14,8,9,4,0,0,1,0,1,0,1,505,180,False,182,True,,,
Reused in Architecture,,506,256,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,29,13,10,4,0,0,2,0,1,0,2,506,180,False,182,True,,,
Outer Courtyard,,506,256,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,29,13,10,4,0,0,2,0,1,0,2,506,180,False,182,True,,,
No Abbreviation,,506,256,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,29,13,10,4,0,0,2,0,1,0,2,506,180,False,182,True,,,
Bronze Cuttings,,506,256,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,29,13,10,4,0,0,2,0,1,0,2,506,180,False,182,True,,,
Bronze Cuttings,,507,257,"Statue Base for Deified Faustina, Wife of M. Aurelius",Base,Dedication,,181.0,2,0.1000,True,Greek,13,11,5,4,0,0,1,0,1,0,1,507,180,False,182,True,,,
Outer Courtyard,,508,258,"Statue Base of Deified Faustina, Wife of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0850,,Greek,13,12,4,4,0,0,1,0,1,0,1,508,180,False,182,True,,,
Bronze Cuttings,,508,258,"Statue Base of Deified Faustina, Wife of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0850,,Greek,13,12,4,4,0,0,1,0,1,0,1,508,180,False,182,True,,,
Bronze Cuttings,,509,259,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,True,Greek,28,27,6,6,0,0,2,0,1,0,2,509,180,False,182,True,,,
Outer Courtyard,,509,259,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,True,Greek,28,27,6,6,0,0,2,0,1,0,2,509,180,False,182,True,,,
"At Site, Moved in Modernity",,509,259,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,True,Greek,28,27,6,6,0,0,2,0,1,0,2,509,180,False,182,True,,,
Outer Courtyard,,510,260,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,30,29,6,6,0,0,2,0,1,0,2,510,180,False,182,True,,,
Bronze Cuttings,,510,260,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,30,29,6,6,0,0,2,0,1,0,2,510,180,False,182,True,,,
"At Site, Moved in Modernity",,510,260,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Greek,30,29,6,6,0,0,2,0,1,0,2,510,180,False,182,True,,,
Unexpressed Nomina,,511,261,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Greek,209,203,51,48,1,2,3,0,1,3,0,511,180,True,185,False,,,
Beyond Immediate Family,,511,261,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Greek,209,203,51,48,1,2,3,0,1,3,0,511,180,True,185,False,,,
Bronze Cuttings,,511,261,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Greek,209,203,51,48,1,2,3,0,1,3,0,511,180,True,185,False,,,
Front of Telesterion,,511,261,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Greek,209,203,51,48,1,2,3,0,1,3,0,511,180,True,185,False,,,
Unexpressed Nomina,,511,261,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Greek,209,203,51,48,1,2,3,0,1,3,0,511,180,True,185,False,,,
Mix of Abbreviation Styles,,513,263,Letter by the Emperor Commodus to the Athenians Concern the Archonship of the Eumolpidai,Base,Epistle,,186.5,7,0.0180,,Greek,523,441,130,107,1,3,1,0,0,0,1,513,183,False,190,False,,,
Reused in Architecture,,513,263,Letter by the Emperor Commodus to the Athenians Concern the Archonship of the Eumolpidai,Base,Epistle,,186.5,7,0.0180,,Greek,523,441,130,107,1,3,1,0,0,0,1,513,183,False,190,False,,,
Standard Abbreviation,,514,264,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,,Greek,951,605,217,115,2,7,40,1,0,39,1,514,186,False,196,False,,,
Part of Praenomen Dropped,,514,264,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,,Greek,951,605,217,115,2,7,40,1,0,39,1,514,186,False,196,False,,,
Filiation Symbol or Nomina Suprabar,,514,264,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,,Greek,951,605,217,115,2,7,40,1,0,39,1,514,186,False,196,False,,,
Southern Wall,,514,264,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,,Greek,951,605,217,115,2,7,40,1,0,39,1,514,186,False,196,False,,,
Removed from Site,,515,265,"Statue Base for the Hierophant who Saved the Hiera During the Kostoboki Invasion, Probably Not from the Sanctuary",Base,Dedication,,196.0,10,0.0420,,Greek,239,233,50,46,1,1,1,0,0,1,0,515,191,False,201,False,,,
Bronze Cuttings,,516,266,Statue Base for the Hierophant who Saved the Hiera During the Invasion of the Kostoboki.,Column/Herm,Dedication,North of the Telesterion,196.0,10,0.0265,True,Greek,289,235,68,54,1,1,1,0,0,1,0,516,191,False,201,False,,True,
Path to Telesterion,,516,266,Statue Base for the Hierophant who Saved the Hiera During the Invasion of the Kostoboki.,Column/Herm,Dedication,North of the Telesterion,196.0,10,0.0265,True,Greek,289,235,68,54,1,1,1,0,0,1,0,516,191,False,201,False,,,
Standard Abbreviation,,517,267,Statue Base(?) for an Unknown Individual,Base,Dedication,,202.0,18,0.0290,,Greek,55,5,16,6,1,0,1,1,1,0,1,517,193,False,211,True,,,
Standard Abbreviation,,518,268,Based Dedicated in Honor of the Emperor Septimius Severus and the Empress Iul. Domna,Base,Dedication,,196.5,3,0.0230,,Greek,110,51,31,16,0,1,2,0,2,0,2,518,195,False,198,False,,,
Standard Abbreviation,,519,269,Statue Base for the Empress Iul. Domna,Base,Dedication,,196.5,3,,,Greek,118,110,20,18,3,0,1,3,0,0,1,519,195,False,198,False,,,
Missing,,519,269,Statue Base for the Empress Iul. Domna,Base,Dedication,,196.5,3,,,Greek,118,110,20,18,3,0,1,3,0,0,1,519,195,False,198,False,,,
Beyond Immediate Family,,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Standard Abbreviation,,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Child Size Cuttings,,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
"Cuttings for Staff, Torch, or Other",,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Bronze Cuttings,,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Office(s) of Relative(s),,520,270,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Greek,120,93,28,19,2,3,3,0,1,3,0,520,175,False,200,False,,,
Beyond Immediate Family,,521,271,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Greek,113,43,35,15,0,2,3,0,1,3,0,521,175,False,200,False,,,
Office(s) of Relative(s),,521,271,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Greek,113,43,35,15,0,2,3,0,1,3,0,521,175,False,200,False,,,
Standard Abbreviation,,521,271,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Greek,113,43,35,15,0,2,3,0,1,3,0,521,175,False,200,False,,,
Part of Praenomen Dropped,,521,271,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Greek,113,43,35,15,0,2,3,0,1,3,0,521,175,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,521,271,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Greek,113,43,35,15,0,2,3,0,1,3,0,521,175,False,200,False,,,
No Abbreviation,,522,272,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,,Greek,169,160,40,33,2,1,2,2,1,2,0,522,175,False,200,True,,,
Reused in Architecture,,522,272,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,,Greek,169,160,40,33,2,1,2,2,1,2,0,522,175,False,200,True,,,
Standard Abbreviation,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
"At Site, Moved in Modernity",,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Front of Telesterion,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Bronze Cuttings,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Full Size Cuttings,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Office(s) of Relative(s),,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Beyond Immediate Family,,523,273,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Greek,880,812,170,146,2,10,11,1,1,11,0,523,175,False,200,False,,,
Bronze Cuttings,,524,274,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,,Greek,114,75,33,24,0,2,2,1,1,2,0,524,175,False,200,True,,,
Filiation Symbol or Nomina Suprabar,,524,274,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,,Greek,114,75,33,24,0,2,2,1,1,2,0,524,175,False,200,True,,,
Standard Abbreviation,,524,274,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,,Greek,114,75,33,24,0,2,2,1,1,2,0,524,175,False,200,True,,,
Standard Abbreviation,,525,275,Base Dedicated by an Unknown Party,Base,Dedication,,187.5,25,0.0200,,Greek,40,22,15,9,0,0,1,0,0,1,0,525,175,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,525,275,Base Dedicated by an Unknown Party,Base,Dedication,,187.5,25,0.0200,,Greek,40,22,15,9,0,0,1,0,0,1,0,525,175,False,200,False,,,
Coronae or Bucrania,,529,279,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,,Greek,64,47,16,11,1,0,1,1,1,1,0,529,101,True,200,True,,,
???? ?? ???????,,529,279,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,,Greek,64,47,16,11,1,0,1,1,1,1,0,529,101,True,200,True,,,
Missing,,529,279,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,,Greek,64,47,16,11,1,0,1,1,1,1,0,529,101,True,200,True,,,
Relief,,530,280,"Relief Dedicated by Alkamenes, Pyrphoros",Base,Dedication,,150.5,99,0.0085,,Greek,46,34,9,7,0,1,1,0,0,1,0,530,101,True,200,True,,,
Reused in Architecture,,532,282,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,,Greek,64,35,15,9,1,1,1,1,0,1,0,532,101,True,200,True,,,
Front of Telesterion,,532,282,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,,Greek,64,35,15,9,1,1,1,1,0,1,0,532,101,True,200,True,,,
Outer Courtyard,,532,282,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,,Greek,64,35,15,9,1,1,1,1,0,1,0,532,101,True,200,True,,,
"At Site, Moved in Modernity",,532,282,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,,Greek,64,35,15,9,1,1,1,1,0,1,0,532,101,True,200,True,,,
No Abbreviation,,533,283,Statue Base for an Unknown High-Priest,Base,Dedication,,150.5,99,0.0150,,Greek,78,45,18,10,0,2,1,0,1,1,0,533,101,True,200,True,,,
"At Site, Moved in Modernity",,549,299,Statue Base for an Unknown Priestess of Demeter and Kore,Base,Dedication,,150.5,99,0.0300,,Greek,39,21,14,9,0,1,0,0,0,0,0,549,101,True,200,True,,,
Missing,,551,301,Large Monument in Honor of an Unknown Hearth-Initiate,Base,Dedication,,150.5,99,0.0430,,Greek,86,45,37,20,2,1,1,1,1,1,0,551,101,True,200,True,,,
