"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2383,"Deiphilos Deiphilou",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2062,"Epikrates Kallimakhou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Leukonion"
2084,"Sophokles Philotou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Sounion"
2391,"Nikostrate Meneou",187.5,350.0,"Person","","Athenian","Female","FALSE","","","Berenikidai"
1013,"Sacred Gerousia",,350.0,"Institution","Public","Other Greek","","","","",""
2484,"Aur. Epaphrodeitos Asklepiadou",217,350.0,"Person","","Athenian","Male","TRUE","","","Pithos"
2209,"Areios",100.5,350.0,"Person","","Athenian","Male","FALSE","","",""
1009,"Boule of Korinth",,350.0,"Institution","Public","Other Greek","","","","",""
1016,"Kerykes",,350.0,"Institution","Genos","Athenian","","","","",""
2231,"Ael. Lysistrate",122,350.0,"Person","","Athenian","Female","TRUE","","",""
2000,"UNC Kanephoros",-87.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2076,"Themistokles Xenokleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Melite"
2072,"Demokhares Menandros",-25,350.0,"Person","","Athenian","Male","FALSE","","","Azenia"
2011,"Epiphaneia II Athenagorou",-85,350.0,"Person","","Athenian","Female","FALSE","Athenagoridai","","Melite"
2275,"Cornelia [?]",150,350.0,"Person","","Athenian","Female","TRUE","","",""
2228,"Viboullia Alkia",115,350.0,"Person","","Athenian","Female","TRUE","Herodian","Herodian-Eukleid",""
2317,"Pompeius Pleistarkhos",166,350.0,"Person","","Athenian","Male","TRUE","","",""
2250,"L. Vipsanius Aiolion",145,350.0,"Person","","Athenian","Male","TRUE","","","Phlya"
2358,"Arist[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2260,"Nummia Kleo",145,350.0,"Person","","Athenian","Female","TRUE","","",""
2019,"Medeios Medeiou",-70,350.0,"Person","","Athenian","Male","FALSE","Medeiotes","","Peiraius"
2111,"Diodotos Kalliphontos",-50.5,350.0,"Person","","Athenian","Male","FALSE","","","Pambotadai"
2050,"Kallikratides Syndromou",-32.5,350.0,"Person","","Athenian","Male","FALSE","Oinophileid","",""
2475,"Fl. Plautianos",204,350.0,"Person","","Athenian","Male","TRUE","","",""
2020,"Diphila Diokleous",-70,350.0,"Person","","Athenian","Female","FALSE","Medeiotes","","Melite"
2042,"Khrysothemis Phaidrou",-40,350.0,"Person","","Athenian","Female","FALSE","Lysiadidai","","Berenikidai"
2045,"Lysiades Phaidrou",-40,350.0,"Person","","Athenian","Female","FALSE","Lysiadidai","","Berenikidai"
1001,"Boule",,350.0,"Institution","Public","Athenian","","","","",""
2322,"M. Iul. Damianos",170,350.0,"Person","","Athenian","Male","TRUE","","",""
2382,"Nikomakhos Mikomakhou",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2352,"Attikos Anthou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2222,"Pose Poseous",112.5,350.0,"Person","","Athenian","Female","FALSE","","","Marathon"
2071,"Apolexis Apellikontos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Oion"
2326,"Iul. Apollodotos Meliteus",170,350.0,"Person","","Athenian","Male","TRUE","","","Melite"
2277,"Ail. Praxagoras",150,350.0,"Person","","Athenian","Male","TRUE","Praxagorid","Claudii of Melite","Melite"
2183,"Eraton Eratonos",50.5,350.0,"Person","","Athenian","Male","FALSE","","","Besa"
2024,"Ktesikleia Apollonioiu",-50,350.0,"Person","","Athenian","Female","FALSE","","",""
