Inscription ID,Feature,Details,Uncertain,Notes
629,Standard Abbreviation,,,
629,Filiation Symbol or Nomina Suprabar,,,
629,Front of Telesterion,,,
629,"At Site, Moved in Modernity",,,
630,Standard Abbreviation,,,
630,Front of Telesterion,,,
630,"At Site, Moved in Modernity",,,
631,Oversized Cuttings,,,
631,"Cuttings for Staff, Torch, or Other",,,
631,Bronze Cuttings,,,
631,Front of Telesterion,,,
632,Office(s) of Relative(s),,,
632,Beyond Immediate Family,,,
632,No Abbreviation,,,
632,Standard Abbreviation,,,
632,Non-Standard Abbreviation,,,
632,Mix of Abbreviation Styles,,,
632,Front of Telesterion,,,
633,No Abbreviation,,,
633,Bronze Cuttings,,,
634,?? ?????????? or ??? ??????????,,,
634,Full Size Cuttings,,,
634,Bronze Cuttings,,,
635,???' ?????????????,,,
635,???? ?? ?????????,,,
635,?? ?????????? or ??? ??????????,,,
635,Standard Abbreviation,,,
635,Filiation Symbol or Nomina Suprabar,,,
635,Filiation Symbol or Nomina Suprabar,,,
635,Removed from Site,,,
636,???' ?????????????,,,
636,???? ?? ?????????,,,
636,?? ?????????? or ??? ??????????,,,
636,No Abbreviation,,,
636,No Abbreviation,,,
636,Standard Abbreviation,,,
636,Mix of Abbreviation Styles,,,
636,Filiation Symbol or Nomina Suprabar,,,
636,Front of Telesterion,,,
636,Altered or Recut,,,
638,Southern Wall,,,
638,Removed from Site,,,
639,"Cuttings for Staff, Torch, or Other",,TRUE,
639,Office(s) of Relative(s),,,
639,Beyond Immediate Family,,,
639,No Abbreviation,,,
639,Filiation Symbol or Nomina Suprabar,,,
639,Child Size Cuttings,,,
639,Bronze Cuttings,,,
639,Path to Telesterion,,,
639,Reused in Architecture,,,
640,Beyond Immediate Family,,,
640,No Abbreviation,,,
642,Between Propylaea,,,
642,Missing,,,
643,Between Propylaea,,,
644,No Abbreviation,,,
645,Famous Decent,,,
645,Bronze Cuttings,,,
645,Front of Telesterion,,,
645,"At Site, Moved in Modernity",,,
646,"Cuttings for Staff, Torch, or Other",,,
646,Bronze Cuttings,,,
646,Front of Telesterion,,,
647,Mix of Abbreviation Styles,,,
648,Office(s) of Relative(s),,,
648,Beyond Immediate Family,,,
648,Famous Decent,,,
648,Bronze Cuttings,,,
648,Removed from Site,,,
649,Front of Telesterion,,,
650,Beyond Immediate Family,,,
650,Famous Decent,,,
650,Oversized Cuttings,,,
650,Bronze Cuttings,,,
650,Front of Telesterion,,,
653,Office(s) of Relative(s),,,
653,Beyond Immediate Family,,,
653,No Abbreviation,,,
654,Office(s) of Relative(s),,,
654,Beyond Immediate Family,,,
654,"At Site, Moved in Modernity",,,
655,No Abbreviation,,,
656,Non-Standard Abbreviation,,,
656,Path to Telesterion,,,
659,Front of Telesterion,,,
660,Standard Abbreviation,,,
661,Front of Telesterion,,,
662,Front of Telesterion,,,
662,"At Site, Moved in Modernity",,,
666,Removed from Site,,,
668,Missing,,,
669,Missing,,,
670,Missing,,,
671,Missing,,,
672,Missing,,,
673,Missing,,,
674,Missing,,,
675,No Abbreviation,,,
675,Altered or Recut,,,
676,No Abbreviation,,,
676,Altered or Recut,,,
677,No Abbreviation,,,
677,Altered or Recut,,,
678,No Abbreviation,,,
678,Front of Telesterion,,,
678,Altered or Recut,,,
679,Office(s) of Relative(s),,,
679,Beyond Immediate Family,,,
679,Front of Telesterion,,,
679,"At Site, Moved in Modernity",,,
680,Beyond Immediate Family,,,
680,Front of Telesterion,,,
680,"At Site, Moved in Modernity",,,
681,Beyond Immediate Family,,,
681,Front of Telesterion,,,
681,"At Site, Moved in Modernity",,,
682,"Cuttings for Staff, Torch, or Other",,TRUE,
682,No Abbreviation,,,
682,Bronze Cuttings,,,
683,"Cuttings for Staff, Torch, or Other",,TRUE,
683,No Abbreviation,,,
683,Bronze Cuttings,,,
688,No Abbreviation,,,
688,Reused in Architecture,,,
689,No Abbreviation,,,
689,Reused in Architecture,,,
691,No Abbreviation,,,
691,Coronae or Bucrania,,,
691,Southern Wall,,,
692,No Abbreviation,,,
692,Coronae or Bucrania,,,
692,Southern Wall,,,
