ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2273,Phirmus Gargettios,Athens,Male,TRUE,TRUE,,,,Firmus,,Phirmus,Gargettios,,,FALSE,,,,,
2274,D. Iun. Peiraieus,Athens,Male,TRUE,TRUE,,,Decimus,Iunius,,,Peiraieus,Peiraieus,,FALSE,,,,,
2275,Cornelia [?],Athens,Female,FALSE,TRUE,,,,,,Cornelia,Cornelia [?],,,TRUE,,,,,
2276,[?] Relative of Ti. Cl. Lysiades,Athens,Male,TRUE,TRUE,,,,,,,Lysiades,,,TRUE,,,,,
2277,Ail. Praxagoras,Athens,Male,TRUE,TRUE,Praxagorid-Demostratid,Claudii of Melite,,Aelius,,Praxagoras,Themistokleous,Melite,,FALSE,140,,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles"
2278,[?] Daughter of Praxagoras Thorikos,Athens,Female,TRUE,FALSE,Praxagorid-Demostratid,Claudii of Melite,,,,,Praxagorou,Thorikos,,FALSE,9,,,,Mother of Aelius Praxagoras
2279,Kl. Themistokles,Athens,Male,TRUE,TRUE,Leonid,Claudii of Melite,,Claudius,,Themistokles,Leonidou,Melite,,FALSE,156,,,,"Brother to T. Kl. Lysidades, and son to T. Kl. Leonides, founder of Leonid branch"
2280,Klementiane,Athens,Female,TRUE,TRUE,,Arrian,,,,Klementiane,Klementiane,,,FALSE,,,,,
2281,Arrian,Athens,Male,TRUE,TRUE,,Arrian,,,Arrianus,Arrian,,,,FALSE,,,,,
2282,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,FALSE,,,,,
2283,Ana[.]n Krateros,Athens,Male,TRUE,TRUE,,,,,,,,,,FALSE,,,,,
2284,[?] Claudius of Melite,Athens,Male,TRUE,TRUE,,,,,,,,Melite,,TRUE,,,,,
2285,Ti. Kl. Leonides,Athens,Male,TRUE,TRUE,,Claudii of Melite,Tiberius,Claudius,,Leonides,,,,FALSE,,,,,
2286,Sergius Salvidius Scipio Orfitus,Rome,Male,FALSE,TRUE,,,Sergius,Salvidius,Scipio Orfitus,,,,,FALSE,,,,,
2287,Calpurnia L. Lepida,Rome,Female,FALSE,TRUE,,,,Calpurnia,Lepida,,,,,FALSE,,,,,
2288,Sergius Calpurnius Scipio Orfitus,Rome,Male,FALSE,TRUE,,,Sergius,Calpurnius,Scipio Orfitus,,,,,FALSE,,,,,
2289,L. Calpurnius Piso,Rome,Male,FALSE,TRUE,,,Lucius,Calpurnius,Piso,,,,,FALSE,,,,,
2290,P. Ail. Timosthenes,Athens,Male,TRUE,TRUE,,TBD,Publius,Aelius,,Timosthenes,,,,FALSE,,,,,
2291,Ail. Zenonos,Athens,Male,TRUE,TRUE,,TBD,,Aelius,,,Zenonos,,,FALSE,,,,,
2292,Elpinike Atria,Athens,Female,TRUE,TRUE,,Herodian,,,,Elpinike Atria,,,,FALSE,,,,,
2293,Regilla,Rome,Female,TRUE,TRUE,,Herodian,,Regilla,,,,,,FALSE,,,,,
2294,Appius,Rome,Male,FALSE,TRUE,,Herodian,,Appius,,,,,,FALSE,,,,,
2295,T. Kl. Appius Bradoua,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Claudius,Appius,T,Bradoua,,,FALSE,,,,,
2296,Themistokles Meliteus,Athens,Male,TRUE,FALSE,,Claudii of Melite,,Claudius,,Themistokles,,Melite,,FALSE,157,,,,"Father of Aelius Praxagoras, son of T. Kl. Themistokles who was brother to T. Kl. Lysiades the Daduch and son to T. Kl. Leonides the daduch"
2297,[?] Son of P. Ael. Praxagoras,Athens,Male,TRUE,TRUE,,Claudii of Melite,Publius,Aelius,,,Praxagorou,,,TRUE,,,,,
2298,Fl. Xenion,Athens,Male,TRUE,TRUE,,,,Flavius,,,Xenion,,,FALSE,,,,,
2299,Fl. Zenophilos,Athens,Male,TRUE,TRUE,,TBD,,Flavius,,Zenophilos,,,,FALSE,,,,,
2300,Emperor L. Verus,Rome,Male,FALSE,TRUE,,Imperial,Lucius,Verus,,,,,,FALSE,,,,,
2301,Ail. Kh[?],Other/Uncertain,Uncertain,TRUE,TRUE,,,,Aelius,,,,,,FALSE,,,,,
2302,T. Fl. Hierophant Alkibiadou,Athens,Male,TRUE,TRUE,,Alcibiad,Titus,Flavius,,,Alkibiadou,,,FALSE,,,,,
2303,T. Fl. Alkibiades (II),Athens,Male,TRUE,TRUE,,Alcibiad,Titus,Flavius,,Alkibiades,,Paiania,,FALSE,131,,,,
2304,T. Fl. Leosthenes,Athens,Male,TRUE,TRUE,,Alcibiad,Titus,Flavius,,Leosthenes,,Paiania,,FALSE,129,,,,
2305,T. Fl. Alkibiades (I),Athens,Male,TRUE,TRUE,,Alcibiad,Titus,Flavius,,Alkibiades,,Paiania,,FALSE,127,,,,
2306,Fl. Eisidora,Athens,Female,TRUE,TRUE,,Alcibiad,,Flavia,,Eisidora,,,,FALSE,193,,,,
2307,Fl. Herakleitos,Athens,Male,TRUE,TRUE,,Alcibiad,,Flavia,,Herakleitos,,,,FALSE,133,,,,
2308,Domitia Laodameia,Athens,Female,TRUE,TRUE,,,,Domitia,,Laodameia,,,,FALSE,,,,,
2309,Krateros,Athens,Male,TRUE,FALSE,,,,,,Krateros,,,,FALSE,,,,,
2310,M. Aur. Miltiades,Athens,Male,TRUE,TRUE,,,Marcus,Aurelius,,Miltiades,,,,FALSE,,,,,
2311,Agothokles Marathonios,Athens,Male,TRUE,FALSE,,,,,,Agothokles,,Marathon,,FALSE,,,,,
2312,T. Fl. Euthykomas,Athens,Male,TRUE,TRUE,,Flavii of Paiania,Titus,Flavius,,Euthykomas,,Paiania,,FALSE,141,,,,
2313,T. Fl. Straton II,Athens,Male,TRUE,TRUE,,Flavii of Paiania,Titus,Flavius,,Straton,,Paiania,,FALSE,140,,,,
2314,T. Fl Straton I,Athens,Male,TRUE,TRUE,,Flavii of Paiania,Titus,Flavius,,Straton,,,,FALSE,139,,,,
2315,Fl. [.]krateia,Athens,Female,TRUE,TRUE,,,,Flavia,,,,,,FALSE,,,,,
2316,Pompeia Polla,Athens,Female,TRUE,TRUE,,,,Pompeia,,Polla,,,,FALSE,,,,,
2317,Pompeius Pleistarkhos,Athens,Male,TRUE,TRUE,,,,Pompeius,,Pleistakhos,,,,FALSE,,,,,
2318,T. Fl. Menandros Paianieus,Athens,Male,TRUE,TRUE,,,Titus,Flavius,,Menandros,,Paiania,,FALSE,143,,,,
2319,Xenion,Athens,Male,TRUE,FALSE,,,,,,Xenion,,,,FALSE,,,,,
2320,Severus,Rome,Male,FALSE,TRUE,,,,,,Severus,,,,FALSE,,,,,
2321,M. Iul Apellas,Athens,Male,TRUE,TRUE,,,Marcus,Iulius,,Apellas,,,,FALSE,,,,,
2322,M. Iul. Damianos,Athens,Male,TRUE,TRUE,,,Marcus,Iulius,,Damianos,,,,FALSE,,,,,
2323,Fl. Apella Hypaipenou,Athens,Female,TRUE,TRUE,,,,Flavia,,Apella,Hypaipenou,,,FALSE,,,,,
2324,Fl. Polla,Athens,Female,TRUE,TRUE,,,,Flavia,,Polla,,,,FALSE,,,,,
2325,Xenion,Athens,Male,TRUE,FALSE,,,,,,Xenion,,,,FALSE,,,,,
2326,Iul. Apollodotos Meliteus,Athens,Male,TRUE,TRUE,Theodotid,Claudii of Melite,,Iulius,,Apollodotos,,Melite,,FALSE,48,,,,
2327,Iul. Theodotos,Athens,Male,TRUE,TRUE,Theodotid,Claudii of Melite,,Iulius,,Theodotus,,Melite,,FALSE,50,,,,
2328,Ail. Kephisodora,Athens,Female,TRUE,TRUE,Demostratid-Leonid,Claudii of Melite,,Aelia,,Kephisodora,,,,FALSE,139,,,,Daughter of Kl. Lysiades
2329,Kl. Lysiades,Athens,Male,TRUE,TRUE,Leonid,Claudii of Melite,,Claudius,,Lysiades,,,,FALSE,159,,,,Father of Aelia Kephisodora
2330,Kl. Sospis,Athens,Male,TRUE,TRUE,Leonid,Claudii of Melite,,Claudius,,Sospis,,,,FALSE,164,,,,
2331,Iul. Kephisodora,Athens,Female,TRUE,TRUE,Theodotid-Demostratid-Leon,Claudii of Melite,,Iulia,,Kephisodora,,,,FALSE,52,,,,
2332,M. Iul. Praxis,Athens,Male,TRUE,TRUE,,,Marcus,Iulius,,Praxis,,,,FALSE,,,,,
2333,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,FALSE,,,,,
2334,[Iunia] Melitine,Athens,Female,TRUE,TRUE,,,,Iunia,,,,Melite,,FALSE,,,,,
2335,Isidote Eisaiou,Athens,Female,TRUE,FALSE,,,,,,Isidote,Eisaiou,,,FALSE,,,,,
2336,Eisaios I,Athens,Male,TRUE,FALSE,,,,,,Eisaios,,,,FALSE,,,,,
2337,Eisaios II,Athens,Male,TRUE,FALSE,,,,,,Eisaios,,,,FALSE,,,,,
2338,Emperor Commodous,Rome,Male,FALSE,TRUE,,Imperial,,,Commodus,,,,,FALSE,,,,,
2339,L. Memmius Altar-Priest,Athens,Male,TRUE,TRUE,,TBD,Lucius,Memmius,,,,,,FALSE,,,,,
2340,Fl. Amphikles,Athens,Male,TRUE,TRUE,,,,Flavius,,Amphikles,,,,FALSE,,,,,
2341,Lucilla,Rome,Female,FALSE,TRUE,,Imperial,,,,Lucilla,,,,FALSE,,,,,
2342,Faustina,Rome,Female,FALSE,TRUE,,Imperial,,,,Faustina,,,,FALSE,,,,,
2343,Sabina,Rome,Female,FALSE,TRUE,,Imperial,,,,Sabina,,,,FALSE,,,,,
2344,Faustina II,Rome,Female,FALSE,TRUE,,Imperial,,,,Faustina,,,,FALSE,,,,,
